"","Well","Adjusted_Absorbance","Cell_Type","Dilution"
"630","C10",1754.66666666667,"Healthy",3906.25
"631","D1",20626.6666666667,"Diseased",2e+06
"632","D2",12145.6666666667,"Diseased",1e+06
"633","D3",4881.66666666667,"Diseased",5e+05
"634","D4",2257.66666666667,"Diseased",250000
"635","D5",238.666666666666,"Diseased",125000
"636","D6",1802.66666666667,"Diseased",62500
"637","D7",143.666666666666,"Diseased",31250
"638","D8",-224.333333333334,"Diseased",15625
"639","D9",-1031.33333333333,"Diseased",7812.5
"640","D10",-1989.33333333333,"Diseased",3906.25
"641","E1",23659.6666666667,"Diseased",2e+06
"642","E2",10208.6666666667,"Diseased",1e+06
"643","E3",12326.6666666667,"Diseased",5e+05
"644","E4",8651.66666666667,"Diseased",250000
"645","E5",4679.66666666667,"Diseased",125000
"646","E6",777.666666666666,"Diseased",62500
"647","E7",216.666666666666,"Diseased",31250
"648","E8",914.666666666666,"Diseased",15625
"649","E9",312.666666666666,"Diseased",7812.5
"650","E10",-1189.33333333333,"Diseased",3906.25
"651","F1",20110.6666666667,"Diseased",2e+06
"652","F2",24317.6666666667,"Diseased",1e+06
"653","F3",17321.6666666667,"Diseased",5e+05
"654","F4",4604.66666666667,"Diseased",250000
"655","F5",4773.66666666667,"Diseased",125000
"656","F6",410.666666666666,"Diseased",62500
"657","F7",2024.66666666667,"Diseased",31250
"658","F8",-604.333333333334,"Diseased",15625
"659","F9",-1055.33333333333,"Diseased",7812.5
"660","F10",843.666666666666,"Diseased",3906.25
"661","A1",60151.3333333333,"Healthy",2e+06
"662","A2",85014.3333333333,"Healthy",1e+06
"663","A3",81851.3333333333,"Healthy",5e+05
"664","A4",48511.3333333333,"Healthy",250000
"665","A5",21900.3333333333,"Healthy",125000
"666","A6",16173.3333333333,"Healthy",62500
"667","A7",8985.33333333333,"Healthy",31250
"668","A8",6895.33333333333,"Healthy",15625
"669","A9",9234.33333333333,"Healthy",7812.5
"670","A10",2427.33333333333,"Healthy",3906.25
"671","B1",88881.3333333333,"Healthy",2e+06
"672","B2",97759.3333333333,"Healthy",1e+06
"673","B3",182548.333333333,"Healthy",5e+05
"674","B4",42755.3333333333,"Healthy",250000
"675","B5",19178.3333333333,"Healthy",125000
"676","B6",15558.3333333333,"Healthy",62500
"677","B7",9502.33333333333,"Healthy",31250
"678","B8",7931.33333333333,"Healthy",15625
"679","B9",7015.33333333333,"Healthy",7812.5
"680","B10",3177.33333333333,"Healthy",3906.25
"681","C1",54225.3333333333,"Healthy",2e+06
"682","C2",60108.3333333333,"Healthy",1e+06
"683","C3",83249.3333333333,"Healthy",5e+05
"684","C4",37991.3333333333,"Healthy",250000
"685","C5",22794.3333333333,"Healthy",125000
"686","C6",15381.3333333333,"Healthy",62500
"687","C7",10354.3333333333,"Healthy",31250
"688","C8",6710.33333333333,"Healthy",15625
"689","C9",4323.33333333333,"Healthy",7812.5
"690","C10",4146.33333333333,"Healthy",3906.25
"691","D1",40051.3333333333,"Diseased",2e+06
"692","D2",28420.3333333333,"Diseased",1e+06
"693","D3",17153.3333333333,"Diseased",5e+05
"694","D4",30468.3333333333,"Diseased",250000
"695","D5",10002.3333333333,"Diseased",125000
"696","D6",5776.33333333333,"Diseased",62500
"697","D7",6102.33333333333,"Diseased",31250
"698","D8",3887.33333333333,"Diseased",15625
"699","D9",-1550.66666666667,"Diseased",7812.5
"700","D10",-2861.66666666667,"Diseased",3906.25
"701","E1",46794.3333333333,"Diseased",2e+06
"702","E2",26846.3333333333,"Diseased",1e+06
"703","E3",27129.3333333333,"Diseased",5e+05
"704","E4",26089.3333333333,"Diseased",250000
"705","E5",8084.33333333333,"Diseased",125000
"706","E6",6797.33333333333,"Diseased",62500
"707","E7",4584.33333333333,"Diseased",31250
"708","E8",-2416.66666666667,"Diseased",15625
"709","E9",-1893.66666666667,"Diseased",7812.5
"710","E10",-4615.66666666667,"Diseased",3906.25
"711","F1",60167.3333333333,"Diseased",2e+06
"712","F2",20746.3333333333,"Diseased",1e+06
"713","F3",31890.3333333333,"Diseased",5e+05
"714","F4",14687.3333333333,"Diseased",250000
"715","F5",10414.3333333333,"Diseased",125000
"716","F6",14870.3333333333,"Diseased",62500
"717","F7",3860.33333333333,"Diseased",31250
"718","F8",-15139.6666666667,"Diseased",15625
"719","F9",12589.3333333333,"Diseased",7812.5
"720","F10",-1770.66666666667,"Diseased",3906.25
"721","A1",61045.8333333333,"Healthy",2e+06
"722","A2",47260.8333333333,"Healthy",1e+06
"723","A3",47417.8333333333,"Healthy",5e+05
"724","A4",34627.8333333333,"Healthy",250000
"725","A5",20209.8333333333,"Healthy",125000
"726","A6",13503.8333333333,"Healthy",62500
"727","A7",10720.8333333333,"Healthy",31250
"728","A8",9279.83333333333,"Healthy",15625
"729","A9",6871.83333333333,"Healthy",7812.5
"730","A10",6782.83333333333,"Healthy",3906.25
"731","B1",51821.8333333333,"Healthy",2e+06
"732","B2",54645.8333333333,"Healthy",1e+06
"733","B3",44017.8333333333,"Healthy",5e+05
"734","B4",37057.8333333333,"Healthy",250000
"735","B5",21888.8333333333,"Healthy",125000
"736","B6",14243.8333333333,"Healthy",62500
"737","B7",9833.83333333333,"Healthy",31250
"738","B8",6872.83333333333,"Healthy",15625
"739","B9",4719.83333333333,"Healthy",7812.5
"740","B10",5078.83333333333,"Healthy",3906.25
"741","C1",45945.8333333333,"Healthy",2e+06
"742","C2",27177.8333333333,"Healthy",1e+06
"743","C3",41190.8333333333,"Healthy",5e+05
"744","C4",31173.8333333333,"Healthy",250000
"745","C5",21137.8333333333,"Healthy",125000
"746","C6",13649.8333333333,"Healthy",62500
"747","C7",10143.8333333333,"Healthy",31250
"748","C8",7444.83333333333,"Healthy",15625
"749","C9",4965.83333333333,"Healthy",7812.5
"750","C10",4602.83333333333,"Healthy",3906.25
"751","D1",31681.8333333333,"Diseased",2e+06
"752","D2",25303.8333333333,"Diseased",1e+06
"753","D3",21954.8333333333,"Diseased",5e+05
"754","D4",17820.8333333333,"Diseased",250000
"755","D5",9254.83333333333,"Diseased",125000
"756","D6",6428.83333333333,"Diseased",62500
"757","D7",3433.83333333333,"Diseased",31250
"758","D8",2091.83333333333,"Diseased",15625
"759","D9",-868.166666666668,"Diseased",7812.5
"760","D10",-378.166666666668,"Diseased",3906.25
"761","E1",45416.8333333333,"Diseased",2e+06
"762","E2",21058.8333333333,"Diseased",1e+06
"763","E3",18188.8333333333,"Diseased",5e+05
"764","E4",19772.8333333333,"Diseased",250000
"765","E5",14298.8333333333,"Diseased",125000
"766","E6",7588.83333333333,"Diseased",62500
"767","E7",6981.83333333333,"Diseased",31250
"768","E8",3712.83333333333,"Diseased",15625
"769","E9",3545.83333333333,"Diseased",7812.5
"770","E10",-1985.16666666667,"Diseased",3906.25
"771","F1",50480.8333333333,"Diseased",2e+06
"772","F2",28469.8333333333,"Diseased",1e+06
"773","F3",17145.8333333333,"Diseased",5e+05
"774","F4",37060.8333333333,"Diseased",250000
"775","F5",11156.8333333333,"Diseased",125000
"776","F6",8591.83333333333,"Diseased",62500
"777","F7",4169.83333333333,"Diseased",31250
"778","F8",7485.83333333333,"Diseased",15625
"779","F9",-3733.16666666667,"Diseased",7812.5
"780","F10",-2321.16666666667,"Diseased",3906.25
"781","A1",19634,"Healthy",2e+06
"782","A2",16364,"Healthy",1e+06
"783","A3",8052,"Healthy",5e+05
"784","A4",4633,"Healthy",250000
"785","A5",1438,"Healthy",125000
"786","A6",-623,"Healthy",62500
"787","A7",-928,"Healthy",31250
"788","A8",-1257,"Healthy",15625
"789","A9",63,"Healthy",7812.5
"790","A10",-741,"Healthy",3906.25
"791","B1",22417,"Healthy",2e+06
"792","B2",14689,"Healthy",1e+06
"793","B3",4885,"Healthy",5e+05
"794","B4",2368,"Healthy",250000
"795","B5",-560,"Healthy",125000
"796","B6",-688,"Healthy",62500
"797","B7",-1233,"Healthy",31250
"798","B8",-1696,"Healthy",15625
"799","B9",-1386,"Healthy",7812.5
"800","B10",145,"Healthy",3906.25
"801","C1",15312,"Healthy",2e+06
"802","C2",18377,"Healthy",1e+06
"803","C3",9005,"Healthy",5e+05
"804","C4",4506,"Healthy",250000
"805","C5",610,"Healthy",125000
"806","C6",-862,"Healthy",62500
"807","C7",-1215,"Healthy",31250
"808","C8",-1815,"Healthy",15625
"809","C9",-1251,"Healthy",7812.5
"810","C10",-2469,"Healthy",3906.25
"811","D1",16621,"Diseased",2e+06
"812","D2",12083,"Diseased",1e+06
"813","D3",1928,"Diseased",5e+05
"814","D4",1331,"Diseased",250000
"815","D5",-3092,"Diseased",125000
"816","D6",-1792,"Diseased",62500
"817","D7",-4542,"Diseased",31250
"818","D8",-3461,"Diseased",15625
"819","D9",-5742,"Diseased",7812.5
"820","D10",-6881,"Diseased",3906.25
"821","E1",24684,"Diseased",2e+06
"822","E2",15385,"Diseased",1e+06
"823","E3",5880,"Diseased",5e+05
"824","E4",912,"Diseased",250000
"825","E5",-2360,"Diseased",125000
"826","E6",-5031,"Diseased",62500
"827","E7",-4504,"Diseased",31250
"828","E8",-4538,"Diseased",15625
"829","E9",-3968,"Diseased",7812.5
"830","E10",-4566,"Diseased",3906.25
"831","F1",17061,"Diseased",2e+06
"832","F2",18497,"Diseased",1e+06
"833","F3",2400,"Diseased",5e+05
"834","F4",518,"Diseased",250000
"835","F5",-1625,"Diseased",125000
"836","F6",-4263,"Diseased",62500
"837","F7",-3184,"Diseased",31250
"838","F8",-5101,"Diseased",15625
"839","F9",-3836,"Diseased",7812.5
"840","F10",-4663,"Diseased",3906.25
"841","A1",18510.5,"Healthy",2e+06
"842","A2",18604.5,"Healthy",1e+06
"843","A3",10684.5,"Healthy",5e+05
"844","A4",6612.5,"Healthy",250000
"845","A5",5183.5,"Healthy",125000
"846","A6",4039.5,"Healthy",62500
"847","A7",9948.5,"Healthy",31250
"848","A8",2624.5,"Healthy",15625
"849","A9",3493.5,"Healthy",7812.5
"850","A10",215.5,"Healthy",3906.25
"851","B1",44000.5,"Healthy",2e+06
"852","B2",20660.5,"Healthy",1e+06
"853","B3",18582.5,"Healthy",5e+05
"854","B4",15358.5,"Healthy",250000
"855","B5",6012.5,"Healthy",125000
"856","B6",7466.5,"Healthy",62500
"857","B7",4231.5,"Healthy",31250
"858","B8",-152.5,"Healthy",15625
"859","B9",4356.5,"Healthy",7812.5
"860","B10",1129.5,"Healthy",3906.25
"861","C1",42314.5,"Healthy",2e+06
"862","C2",25235.5,"Healthy",1e+06
"863","C3",36522.5,"Healthy",5e+05
"864","C4",5256.5,"Healthy",250000
"865","C5",2634.5,"Healthy",125000
"866","C6",8988.5,"Healthy",62500
"867","C7",4274.5,"Healthy",31250
"868","C8",1311.5,"Healthy",15625
"869","C9",1820.5,"Healthy",7812.5
"870","C10",-419.5,"Healthy",3906.25
"871","D1",31245.5,"Diseased",2e+06
"872","D2",9776.5,"Diseased",1e+06
"873","D3",6111.5,"Diseased",5e+05
"874","D4",978.5,"Diseased",250000
"875","D5",-2916.5,"Diseased",125000
"876","D6",-4267.5,"Diseased",62500
"877","D7",-5027.5,"Diseased",31250
"878","D8",-1978.5,"Diseased",15625
"879","D9",-6798.5,"Diseased",7812.5
"880","D10",-8454.5,"Diseased",3906.25
"881","E1",21198.5,"Diseased",2e+06
"882","E2",20976.5,"Diseased",1e+06
"883","E3",5202.5,"Diseased",5e+05
"884","E4",3080.5,"Diseased",250000
"885","E5",1272.5,"Diseased",125000
"886","E6",-5063.5,"Diseased",62500
"887","E7",-5532.5,"Diseased",31250
"888","E8",-2924.5,"Diseased",15625
"889","E9",-3448.5,"Diseased",7812.5
"890","E10",-3466.5,"Diseased",3906.25
"891","F1",96699.5,"Diseased",2e+06
"892","F2",24902.5,"Diseased",1e+06
"893","F3",9803.5,"Diseased",5e+05
"894","F4",6759.5,"Diseased",250000
"895","F5",7125.5,"Diseased",125000
"896","F6",5590.5,"Diseased",62500
"897","F7",7528.5,"Diseased",31250
"898","F8",-4317.5,"Diseased",15625
"899","F9",13795.5,"Diseased",7812.5
"900","F10",13908.5,"Diseased",3906.25
"901","A1",30591.6666666667,"Healthy",2e+06
"902","A2",22078.6666666667,"Healthy",1e+06
"903","A3",19087.6666666667,"Healthy",5e+05
"904","A4",13770.6666666667,"Healthy",250000
"905","A5",8781.66666666667,"Healthy",125000
"906","A6",4803.66666666667,"Healthy",62500
"907","A7",3230.66666666667,"Healthy",31250
"908","A8",3272.66666666667,"Healthy",15625
"909","A9",3566.66666666667,"Healthy",7812.5
"910","A10",1473.66666666667,"Healthy",3906.25
"911","B1",30931.6666666667,"Healthy",2e+06
"912","B2",24388.6666666667,"Healthy",1e+06
"913","B3",19514.6666666667,"Healthy",5e+05
"914","B4",13509.6666666667,"Healthy",250000
"915","B5",6223.66666666667,"Healthy",125000
"916","B6",3774.66666666667,"Healthy",62500
"917","B7",2747.66666666667,"Healthy",31250
"918","B8",1757.66666666667,"Healthy",15625
"919","B9",1885.66666666667,"Healthy",7812.5
"920","B10",1047.66666666667,"Healthy",3906.25
"921","C1",33113.6666666667,"Healthy",2e+06
"922","C2",35216.6666666667,"Healthy",1e+06
"923","C3",27411.6666666667,"Healthy",5e+05
"924","C4",19209.6666666667,"Healthy",250000
"925","C5",8462.66666666667,"Healthy",125000
"926","C6",5995.66666666667,"Healthy",62500
"927","C7",2582.66666666667,"Healthy",31250
"928","C8",1847.66666666667,"Healthy",15625
"929","C9",1698.66666666667,"Healthy",7812.5
"930","C10",-55.3333333333339,"Healthy",3906.25
"931","D1",24621.6666666667,"Diseased",2e+06
"932","D2",16985.6666666667,"Diseased",1e+06
"933","D3",10281.6666666667,"Diseased",5e+05
"934","D4",10211.6666666667,"Diseased",250000
"935","D5",-7113.33333333333,"Diseased",125000
"936","D6",787.666666666666,"Diseased",62500
"937","D7",-1530.33333333333,"Diseased",31250
"938","D8",-2694.33333333333,"Diseased",15625
"939","D9",-522.333333333334,"Diseased",7812.5
"940","D10",-1980.33333333333,"Diseased",3906.25
"941","E1",19652.6666666667,"Diseased",2e+06
"942","E2",9927.66666666667,"Diseased",1e+06
"943","E3",8135.66666666667,"Diseased",5e+05
"944","E4",2017.66666666667,"Diseased",250000
"945","E5",2555.66666666667,"Diseased",125000
"946","E6",-1000.33333333333,"Diseased",62500
"947","E7",-1467.33333333333,"Diseased",31250
"948","E8",1216.66666666667,"Diseased",15625
"949","E9",-2453.33333333333,"Diseased",7812.5
"950","E10",-1756.33333333333,"Diseased",3906.25
"951","F1",27690.6666666667,"Diseased",2e+06
"952","F2",18659.6666666667,"Diseased",1e+06
"953","F3",7882.66666666667,"Diseased",5e+05
"954","F4",4733.66666666667,"Diseased",250000
"955","F5",6861.66666666667,"Diseased",125000
"956","F6",2840.66666666667,"Diseased",62500
"957","F7",657.666666666666,"Diseased",31250
"958","F8",231.666666666666,"Diseased",15625
"959","F9",-957.333333333334,"Diseased",7812.5
"960","F10",-1000.33333333333,"Diseased",3906.25
"961","A1",-183.166666666666,"Healthy",2e+06
"962","A2",71252.8333333333,"Healthy",1e+06
"963","A3",54468.8333333333,"Healthy",5e+05
"964","A4",49103.8333333333,"Healthy",250000
"965","A5",43683.8333333333,"Healthy",125000
"966","A6",33600.8333333333,"Healthy",62500
"967","A7",27158.8333333333,"Healthy",31250
"968","A8",28029.8333333333,"Healthy",15625
"969","A9",29184.8333333333,"Healthy",7812.5
"970","A10",29216.8333333333,"Healthy",3906.25
"971","B1",3892.83333333333,"Healthy",2e+06
"972","B2",79360.8333333333,"Healthy",1e+06
"973","B3",62960.8333333333,"Healthy",5e+05
"974","B4",45140.8333333333,"Healthy",250000
"975","B5",42122.8333333333,"Healthy",125000
"976","B6",35703.8333333333,"Healthy",62500
"977","B7",31688.8333333333,"Healthy",31250
"978","B8",30288.8333333333,"Healthy",15625
"979","B9",27784.8333333333,"Healthy",7812.5
"980","B10",28791.8333333333,"Healthy",3906.25
"981","C1",620.833333333334,"Healthy",2e+06
"982","C2",63317.8333333333,"Healthy",1e+06
"983","C3",52114.8333333333,"Healthy",5e+05
"984","C4",45437.8333333333,"Healthy",250000
"985","C5",31449.8333333333,"Healthy",125000
"986","C6",31346.8333333333,"Healthy",62500
"987","C7",31004.8333333333,"Healthy",31250
"988","C8",25037.8333333333,"Healthy",15625
"989","C9",26548.8333333333,"Healthy",7812.5
"990","C10",26418.8333333333,"Healthy",3906.25
"991","D1",-2333.16666666667,"Diseased",2e+06
"992","D2",60971.8333333333,"Diseased",1e+06
"993","D3",42352.8333333333,"Diseased",5e+05
"994","D4",34154.8333333333,"Diseased",250000
"995","D5",37136.8333333333,"Diseased",125000
"996","D6",25318.8333333333,"Diseased",62500
"997","D7",31187.8333333333,"Diseased",31250
"998","D8",22854.8333333333,"Diseased",15625
"999","D9",23983.8333333333,"Diseased",7812.5
"1000","D10",22585.8333333333,"Diseased",3906.25
"1001","E1",1668.83333333333,"Diseased",2e+06
"1002","E2",55215.8333333333,"Diseased",1e+06
"1003","E3",39802.8333333333,"Diseased",5e+05
"1004","E4",34049.8333333333,"Diseased",250000
"1005","E5",39625.8333333333,"Diseased",125000
"1006","E6",29946.8333333333,"Diseased",62500
"1007","E7",28636.8333333333,"Diseased",31250
"1008","E8",24546.8333333333,"Diseased",15625
"1009","E9",21956.8333333333,"Diseased",7812.5
"1010","E10",18888.8333333333,"Diseased",3906.25
"1011","F1",-1252.16666666667,"Diseased",2e+06
"1012","F2",46351.8333333333,"Diseased",1e+06
"1013","F3",47545.8333333333,"Diseased",5e+05
"1014","F4",44661.8333333333,"Diseased",250000
"1015","F5",31580.8333333333,"Diseased",125000
"1016","F6",32083.8333333333,"Diseased",62500
"1017","F7",28900.8333333333,"Diseased",31250
"1018","F8",25030.8333333333,"Diseased",15625
"1019","F9",20201.8333333333,"Diseased",7812.5
"1020","F10",28332.8333333333,"Diseased",3906.25
"1021","A1",51820,"Healthy",2e+06
"1022","A2",41629,"Healthy",1e+06
"1023","A3",37186,"Healthy",5e+05
"1024","A4",20623,"Healthy",250000
"1025","A5",10460,"Healthy",125000
"1026","A6",6980,"Healthy",62500
"1027","A7",3062,"Healthy",31250
"1028","A8",291,"Healthy",15625
"1029","A9",810,"Healthy",7812.5
"1030","A10",5859,"Healthy",3906.25
"1031","B1",43456,"Healthy",2e+06
"1032","B2",41367,"Healthy",1e+06
"1033","B3",45203,"Healthy",5e+05
"1034","B4",22691,"Healthy",250000
"1035","B5",13147,"Healthy",125000
"1036","B6",6295,"Healthy",62500
"1037","B7",10170,"Healthy",31250
"1038","B8",2648,"Healthy",15625
"1039","B9",2606,"Healthy",7812.5
"1040","B10",1395,"Healthy",3906.25
"1041","C1",34733,"Healthy",2e+06
"1042","C2",44822,"Healthy",1e+06
"1043","C3",33179,"Healthy",5e+05
"1044","C4",16546,"Healthy",250000
"1045","C5",9952,"Healthy",125000
"1046","C6",5150,"Healthy",62500
"1047","C7",4874,"Healthy",31250
"1048","C8",743,"Healthy",15625
"1049","C9",1074,"Healthy",7812.5
"1050","C10",1674,"Healthy",3906.25
"1051","D1",19872,"Diseased",2e+06
"1052","D2",6651,"Diseased",1e+06
"1053","D3",7278,"Diseased",5e+05
"1054","D4",-78,"Diseased",250000
"1055","D5",-4502,"Diseased",125000
"1056","D6",-2540,"Diseased",62500
"1057","D7",-6300,"Diseased",31250
"1058","D8",-8066,"Diseased",15625
"1059","D9",-6063,"Diseased",7812.5
"1060","D10",-4337,"Diseased",3906.25
"1061","E1",24451,"Diseased",2e+06
"1062","E2",10393,"Diseased",1e+06
"1063","E3",5828,"Diseased",5e+05
"1064","E4",-951,"Diseased",250000
"1065","E5",-3247,"Diseased",125000
"1066","E6",-3177,"Diseased",62500
"1067","E7",-3276,"Diseased",31250
"1068","E8",-7948,"Diseased",15625
"1069","E9",-6982,"Diseased",7812.5
"1070","E10",-5851,"Diseased",3906.25
"1071","F1",29792,"Diseased",2e+06
"1072","F2",13595,"Diseased",1e+06
"1073","F3",5147,"Diseased",5e+05
"1074","F4",272,"Diseased",250000
"1075","F5",596,"Diseased",125000
"1076","F6",8282,"Diseased",62500
"1077","F7",-7025,"Diseased",31250
"1078","F8",-7988,"Diseased",15625
"1079","F9",-8669,"Diseased",7812.5
"1080","F10",-5370,"Diseased",3906.25
"1081","A1",59856.1666666667,"Healthy",2e+06
"1082","A2",84719.1666666667,"Healthy",1e+06
"1083","A3",81556.1666666667,"Healthy",5e+05
"1084","A4",48216.1666666667,"Healthy",250000
"1085","A5",21605.1666666667,"Healthy",125000
"1086","A6",15878.1666666667,"Healthy",62500
"1087","A7",8690.16666666667,"Healthy",31250
"1088","A8",6600.16666666667,"Healthy",15625
"1089","A9",8939.16666666667,"Healthy",7812.5
"1090","A10",2132.16666666667,"Healthy",3906.25
"1091","B1",88586.1666666667,"Healthy",2e+06
"1092","B2",97464.1666666667,"Healthy",1e+06
"1093","B3",182253.166666667,"Healthy",5e+05
"1094","B4",42460.1666666667,"Healthy",250000
"1095","B5",18883.1666666667,"Healthy",125000
"1096","B6",15263.1666666667,"Healthy",62500
"1097","B7",9207.16666666667,"Healthy",31250
"1098","B8",7636.16666666667,"Healthy",15625
"1099","B9",6720.16666666667,"Healthy",7812.5
"1100","B10",2882.16666666667,"Healthy",3906.25
"1101","C1",53930.1666666667,"Healthy",2e+06
"1102","C2",59813.1666666667,"Healthy",1e+06
"1103","C3",82954.1666666667,"Healthy",5e+05
"1104","C4",37696.1666666667,"Healthy",250000
"1105","C5",22499.1666666667,"Healthy",125000
"1106","C6",15086.1666666667,"Healthy",62500
"1107","C7",10059.1666666667,"Healthy",31250
"1108","C8",6415.16666666667,"Healthy",15625
"1109","C9",4028.16666666667,"Healthy",7812.5
"1110","C10",3851.16666666667,"Healthy",3906.25
"1111","D1",42906.1666666667,"Diseased",2e+06
"1112","D2",24047.1666666667,"Diseased",1e+06
"1113","D3",18175.1666666667,"Diseased",5e+05
"1114","D4",25557.1666666667,"Diseased",250000
"1115","D5",12738.1666666667,"Diseased",125000
"1116","D6",8963.16666666667,"Diseased",62500
"1117","D7",5463.16666666667,"Diseased",31250
"1118","D8",-386.833333333332,"Diseased",15625
"1119","D9",-851.833333333332,"Diseased",7812.5
"1120","D10",99.1666666666679,"Diseased",3906.25
"1121","E1",49582.1666666667,"Diseased",2e+06
"1122","E2",25598.1666666667,"Diseased",1e+06
"1123","E3",28346.1666666667,"Diseased",5e+05
"1124","E4",25879.1666666667,"Diseased",250000
"1125","E5",11637.1666666667,"Diseased",125000
"1126","E6",10342.1666666667,"Diseased",62500
"1127","E7",1006.16666666667,"Diseased",31250
"1128","E8",-1686.83333333333,"Diseased",15625
"1129","E9",-898.833333333332,"Diseased",7812.5
"1130","E10",-1742.83333333333,"Diseased",3906.25
"1131","F1",62747.1666666667,"Diseased",2e+06
"1132","F2",25838.1666666667,"Diseased",1e+06
"1133","F3",41285.1666666667,"Diseased",5e+05
"1134","F4",21545.1666666667,"Diseased",250000
"1135","F5",7301.16666666667,"Diseased",125000
"1136","F6",7402.16666666667,"Diseased",62500
"1137","F7",470.166666666668,"Diseased",31250
"1138","F8",-16735.8333333333,"Diseased",15625
"1139","F9",16033.1666666667,"Diseased",7812.5
"1140","F10",-1016.83333333333,"Diseased",3906.25
"1141","A1",91146.4166666667,"Healthy",2e+06
"1142","A2",64094.4166666667,"Healthy",1e+06
"1143","A3",78308.4166666667,"Healthy",5e+05
"1144","A4",68730.4166666667,"Healthy",250000
"1145","A5",49222.4166666667,"Healthy",125000
"1146","A6",22962.4166666667,"Healthy",62500
"1147","A7",18948.4166666667,"Healthy",31250
"1148","A8",11398.4166666667,"Healthy",15625
"1149","A9",7836.41666666667,"Healthy",7812.5
"1150","A10",6567.41666666667,"Healthy",3906.25
"1151","B1",69010.4166666667,"Healthy",2e+06
"1152","B2",50728.4166666667,"Healthy",1e+06
"1153","B3",39238.4166666667,"Healthy",5e+05
"1154","B4",25400.4166666667,"Healthy",250000
"1155","B5",13944.4166666667,"Healthy",125000
"1156","B6",2012.41666666667,"Healthy",62500
"1157","B7",7708.41666666667,"Healthy",31250
"1158","B8",4649.41666666667,"Healthy",15625
"1159","B9",2358.41666666667,"Healthy",7812.5
"1160","B10",2872.41666666667,"Healthy",3906.25
"1161","C1",85503.4166666667,"Healthy",2e+06
"1162","C2",106653.416666667,"Healthy",1e+06
"1163","C3",58891.4166666667,"Healthy",5e+05
"1164","C4",62135.4166666667,"Healthy",250000
"1165","C5",33280.4166666667,"Healthy",125000
"1166","C6",22058.4166666667,"Healthy",62500
"1167","C7",16518.4166666667,"Healthy",31250
"1168","C8",6871.41666666667,"Healthy",15625
"1169","C9",5114.41666666667,"Healthy",7812.5
"1170","C10",2536.41666666667,"Healthy",3906.25
"1171","D1",48058.4166666667,"Diseased",2e+06
"1172","D2",69394.4166666667,"Diseased",1e+06
"1173","D3",21870.4166666667,"Diseased",5e+05
"1174","D4",47011.4166666667,"Diseased",250000
"1175","D5",6084.41666666667,"Diseased",125000
"1176","D6",7028.41666666667,"Diseased",62500
"1177","D7",-3521.58333333333,"Diseased",31250
"1178","D8",-3863.58333333333,"Diseased",15625
"1179","D9",-491.583333333332,"Diseased",7812.5
"1180","D10",-3312.58333333333,"Diseased",3906.25
"1181","E1",67447.4166666667,"Diseased",2e+06
"1182","E2",83463.4166666667,"Diseased",1e+06
"1183","E3",25371.4166666667,"Diseased",5e+05
"1184","E4",41692.4166666667,"Diseased",250000
"1185","E5",35690.4166666667,"Diseased",125000
"1186","E6",31432.4166666667,"Diseased",62500
"1187","E7",17359.4166666667,"Diseased",31250
"1188","E8",1383.41666666667,"Diseased",15625
"1189","E9",5339.41666666667,"Diseased",7812.5
"1190","E10",-3251.58333333333,"Diseased",3906.25
"1191","F1",63506.4166666667,"Diseased",2e+06
"1192","F2",39317.4166666667,"Diseased",1e+06
"1193","F3",20847.4166666667,"Diseased",5e+05
"1194","F4",21112.4166666667,"Diseased",250000
"1195","F5",11620.4166666667,"Diseased",125000
"1196","F6",12849.4166666667,"Diseased",62500
"1197","F7",5276.41666666667,"Diseased",31250
"1198","F8",-1348.58333333333,"Diseased",15625
"1199","F9",1168.41666666667,"Diseased",7812.5
"1200","F10",-4346.58333333333,"Diseased",3906.25
"1201","A1",64352.6666666667,"Healthy",2e+06
"1202","A2",80213.6666666667,"Healthy",1e+06
"1203","A3",99201.6666666667,"Healthy",5e+05
"1204","A4",67552.6666666667,"Healthy",250000
"1205","A5",42526.6666666667,"Healthy",125000
"1206","A6",34740.6666666667,"Healthy",62500
"1207","A7",18605.6666666667,"Healthy",31250
"1208","A8",17196.6666666667,"Healthy",15625
"1209","A9",13539.6666666667,"Healthy",7812.5
"1210","A10",12073.6666666667,"Healthy",3906.25
"1211","B1",57596.6666666667,"Healthy",2e+06
"1212","B2",57851.6666666667,"Healthy",1e+06
"1213","B3",61496.6666666667,"Healthy",5e+05
"1214","B4",41724.6666666667,"Healthy",250000
"1215","B5",24378.6666666667,"Healthy",125000
"1216","B6",18727.6666666667,"Healthy",62500
"1217","B7",13097.6666666667,"Healthy",31250
"1218","B8",10396.6666666667,"Healthy",15625
"1219","B9",9517.66666666667,"Healthy",7812.5
"1220","B10",12071.6666666667,"Healthy",3906.25
"1221","C1",88896.6666666667,"Healthy",2e+06
"1222","C2",59275.6666666667,"Healthy",1e+06
"1223","C3",99944.6666666667,"Healthy",5e+05
"1224","C4",60980.6666666667,"Healthy",250000
"1225","C5",51508.6666666667,"Healthy",125000
"1226","C6",39239.6666666667,"Healthy",62500
"1227","C7",22884.6666666667,"Healthy",31250
"1228","C8",17432.6666666667,"Healthy",15625
"1229","C9",12160.6666666667,"Healthy",7812.5
"1230","C10",13560.6666666667,"Healthy",3906.25
"1231","D1",64527.6666666667,"Diseased",2e+06
